Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
START_STATE,Under30_WI228,Under30_MI227,0.0011506066238182134,0.041521238866685295,False
START_STATE,Over60_WI235,Under30_MI227,6.0953081131364204e-05,0.041521238866685295,False
START_STATE,Under60_AL227,Under30_MI227,0.000692051905768412,0.041521238866685295,False
START_STATE,Under60_MI200,Under30_MI227,0.002186809003051405,0.041521238866685295,False
START_STATE,Under30_AL243,Under30_MI227,2.06302736136925e-05,0.041521238866685295,False
START_STATE,Under30_AL227,Under30_MI227,0.000891790463937344,0.041521238866685295,False
START_STATE,Under30_MO243,Under30_MI227,0.0002081782155563516,0.041521238866685295,False
START_STATE,Under60_PA198,Under30_MI227,0.0002269330097506175,0.041521238866685295,False
START_STATE,Under60_CA237,Under30_MI227,0.00016973088745810648,0.041521238866685295,False
START_STATE,Under30_PA213,Under30_MI227,0.004254525062969221,0.041521238866685295,False
START_STATE,Under60_WA233,Under30_MI227,0.002515955641160772,0.041521238866685295,False
START_STATE,Under60_MI213,Under30_MI227,0.00824085656896044,0.041521238866685295,False
START_STATE,Under60_MI243,Under30_MI227,0.0028807363882392438,0.041521238866685295,False
Under60_MI243,Under60_MI243,END_STATE,0.22740998838559814,0.7012775842044134,False
Under60_MI243,Under60_MI243,END_STATE,0.22740998838559814,0.7012775842044134,False
Under60_MI243,Under60_MI243,END_STATE,0.22740998838559814,0.7012775842044134,False
START_STATE,Under30_MN234,Under30_MI227,0.00013128355935986138,0.041521238866685295,False
Under30_MN234,Under30_MN234,END_STATE,0.10344827586206896,0.6847290640394089,False
START_STATE,Under30_MI233,Under30_MI227,0.008328066361963777,0.041521238866685295,False
START_STATE,Under30_MI233,Under30_MI227,0.008328066361963777,0.041521238866685295,False
START_STATE,Under60_MI220,Under30_MI227,0.0020180158553030117,0.041521238866685295,False
START_STATE,Under60_MI241,Under30_MI227,3.2820889839965344e-05,0.041521238866685295,False
Under60_MI241,Under60_MI220,END_STATE,0.02040816326530612,0.6938775510204082,False
START_STATE,Under30_MI197,Under30_MI227,0.0013053336759209072,0.041521238866685295,False
START_STATE,Under60_ID234,Under30_MI227,7.501917677706363e-06,0.041521238866685295,False
START_STATE,Under60_IL227,Under30_MI227,0.0035652863763299494,0.041521238866685295,False
Under60_IL227,Under60_IL226,END_STATE,0.009686727122835944,0.8083264633140973,False
Under60_IL226,Under60_IL243,END_STATE,0.008741258741258742,0.6993006993006993,False
Under60_IL243,Under60_IL226,END_STATE,0.00851063829787234,0.648936170212766,False
Under60_IL226,Under60_IL243,END_STATE,0.008741258741258742,0.6993006993006993,False
Under60_IL243,Under60_IL243,END_STATE,0.21063829787234042,0.648936170212766,False
Under60_IL243,Under60_IL243,END_STATE,0.21063829787234042,0.648936170212766,False
START_STATE,Under30_WA243,Under30_MI227,0.000618908208410775,0.041521238866685295,False
START_STATE,Under60_WA145,Under30_MI227,1.7817054484552614e-05,0.041521238866685295,False
START_STATE,Under60_MI226,Under30_MI227,0.003770651372757161,0.041521238866685295,False
START_STATE,Under60_MI163,Under30_MI227,0.008350572114996896,0.041521238866685295,False
Under60_MI163,Under60_MI214,END_STATE,0.05516737081572961,0.7247318817029574,False
START_STATE,Under30_MI163,Under30_MI227,0.008645960123556585,0.041521238866685295,False
START_STATE,Under30_MI214,Under30_MI227,0.002839475841011859,0.041521238866685295,False
Under30_MI214,Under30_MI163,END_STATE,0.13810798750557787,0.6762605979473449,False
START_STATE,Under30_VA228,Under30_MI227,0.0002916370497208349,0.041521238866685295,False
START_STATE,Under30_UT183,Under30_MI227,0.00031976924101223374,0.041521238866685295,False
Under30_UT183,Under30_UT233,END_STATE,0.029339853300733496,0.8361858190709046,False
START_STATE,Under60_UT234,Under30_MI227,0.0008824130668402111,0.041521238866685295,False
START_STATE,Under60_UT132,Under30_MI227,6.564177967993068e-06,0.041521238866685295,False
START_STATE,Under30_UT227,Under30_MI227,0.014486203035650989,0.041521238866685295,False
Under30_UT227,Under30_UT206,END_STATE,0.02090353532469016,0.8838882860243303,False
START_STATE,Over60_MI234,Under30_MI227,0.0005851495788610964,0.041521238866685295,False
START_STATE,Under30_MI227,Under30_MI227,0.041521238866685295,0.041521238866685295,True
START_STATE,Under30_MI191,Under30_MI227,4.688698548566477e-06,0.041521238866685295,False
START_STATE,Under30_PA235,Under30_MI227,0.0005007530049868997,0.041521238866685295,False
Under30_PA235,Under30_PA233,END_STATE,0.2389455782312925,0.4897959183673469,False
Under30_PA233,Under30_PA235,END_STATE,0.08160403813796971,0.5364554122265844,False
Under30_PA235,Under30_PA231,END_STATE,0.10204081632653061,0.4897959183673469,False
Under30_PA231,Under30_PA233,END_STATE,0.2572549019607843,0.48549019607843136,False
Under30_PA233,Under30_PA233,END_STATE,0.232192933258553,0.5364554122265844,False
Under30_PA233,Under30_PA233,END_STATE,0.232192933258553,0.5364554122265844,False
START_STATE,Under60_WA213,Under30_MI227,0.00247281961451396,0.041521238866685295,False
START_STATE,Under60_PA228,Under30_MI227,0.002485010230740233,0.041521238866685295,False
START_STATE,Under60_MO235,Under30_MI227,0.00012003068284330181,0.041521238866685295,False
Under60_MO235,Under60_MO233,END_STATE,0.26198083067092653,0.5015974440894568,False
